model,accuracy,precision,recall,f1,rmse,roc_auc
TunedRandomForest,0.7608232789212207,0.5335753176043557,0.786096256684492,0.6356756756756756,0.4890569711994496,0.8434110930274612
LogisticRegression,0.8105039034776437,0.6813559322033899,0.5374331550802139,0.600896860986547,0.4353114936713207,0.846371644837118
GradientBoosting,0.794889992902768,0.6480836236933798,0.49732620320855614,0.5627836611195158,0.4528907231300196,0.8440285204991087
RandomForest,0.7785663591199432,0.6013071895424836,0.4919786096256685,0.5411764705882353,0.47056736061913257,0.8210028675501821
